Feature,Gain,Cover,Frequency
Location,0.115658154623966,0.0804045598827982,0.0802781289506953
weighted_garbage,0.114726367356183,0.0990149249175925,0.0823324905183312
Lat,0.0863975120897875,0.0751854169210109,0.0614728192161821
Station,0.0801512454928987,0.0704202783542913,0.12468394437421
County,0.0664890461639724,0.0870963557563179,0.0809102402022756
Season,0.0654314804295253,0.0573304541570016,0.111093552465234
station_num,0.0529469430220823,0.0957071786106703,0.0493046776232617
縣市,0.0502106388894041,0.0390977902575998,0.015802781289507
Seat,0.0497435404322996,0.0402957514345013,0.0248103666245259
Lon,0.0482395605907823,0.0939331278232206,0.0510429835651075
Substrate type,0.0393262582849106,0.0208307898913442,0.0191213653603034
Foam material,0.038128802980306,0.0116248016115248,0.0143805309734513
Seat_simple,0.0222488371125439,0.0161991820290563,0.011378002528445
wstr,0.0187291893215442,0.00502075448663167,0.00805941845764855
Plastic bottle container,0.0179267711486383,0.0123840190452936,0.0222819216182048
5砂礫混合灘,0.0178145993460086,0.0173246551092663,0.0154867256637168
4沙灘,0.0168056578904436,0.0151843486753754,0.0216498103666245
Float,0.0141683257265685,0.0128723599072152,0.0184892541087231
Fishing nets and ropes,0.0125383129764105,0.0102246367964839,0.0151706700379267
2暴露人造結構物,0.0111093821424107,0.0138719326089611,0.0268647281921618
3暴露岩盤,0.00904583118897061,0.0118575265535344,0.0142225031605563
Others,0.00668404326808851,0.00583719936515688,0.00758533501896334
wfisnr,0.00625539362902433,0.00355191673788304,0.00426675094816688
6礫石灘,0.00610571681311199,0.0154781162251251,0.0148546144121365
Shore shape,0.00568910280905957,0.00502838481259919,0.00758533501896334
8遮蔽岩岸,0.00547971836677184,0.00795842998412892,0.00805941845764855
7開闊潮間帶,0.00450848941579702,0.0096676230008546,0.0115360303413401
1暴露岩岸,0.00444065815301175,0.00846966182395312,0.018173198482933
wo,0.00272770542074393,0.00186561469905994,0.00347661188369153
wplbc,0.00193663531329901,0.00228528262727384,0.00426675094816688
Disposable cup / straw / tableware,0.00162389247876494,0.00671468685142229,0.00916561314791403
wflo,0.00119149472636959,0.00214412159687462,0.00426675094816688
wgj,0.00101996953726936,0.00331156146990599,0.00300252844500632
10遮蔽濕地,0.00101000726036203,0.00848492247588817,0.00474083438685209
Region,0.000793031089069986,0.00333445244780857,0.00252844500632111
Glass jar,0.000614991593757055,0.00579141740935173,0.00711125158027813
Plastic bag,0.000584003621219583,0.00267824441460139,0.00442477876106195
station_EN,0.000329802173322099,0.000602795751434501,0.000948166877370417
Metal,0.000328871427065424,0.00163670492003418,0.00252844500632111
9遮蔽潮間帶,0.000266012589107298,0.0102666035893053,0.00410872313527181
wdis,0.000221864476919981,0.00407840922964229,0.00300252844500632
海岸段,0.000184628737178751,0.00188087535099499,0.00142225031605563
Fishing equipment,7.05790847138118e-05,0.000679099011109755,0.000632111251580278
Paper,5.76624970170715e-05,0.000194573312171896,0.00110619469026549
wplb,2.96301386974278e-05,0.001205591502869,0.00142225031605563
wm,9.24655137666725e-06,0.000900378464167989,0.000632111251580278
wfe,3.76994628212497e-07,5.34122817726773e-05,0.00015802781289507
Cigarette and lighter,1.46245963190282e-08,1.90758149188133e-05,0.00015802781289507
